Order,Best_source,Det_to_species,Doug_to_check,Human_alternative,Human_comment,Alien,Original,Official,Synonym,TNRS_Name_submitted,TNRS_Name_matched,TNRS_Author_matched,TNRS_Overall_score,TNRS_Taxonomic_status,TNRS_Accepted_name,TNRS_Accepted_author,TNRS_Accepted_family,TNRS_Source,TNRS_Warnings,TNRS_Accepted_name_lsid
2032,Human_alternative,1,,Tetraria compar,,,Tritrearia compur,0,0,Tritrearia compur,Tritomaria,,0.48,Accepted,Tritomaria,,Jungermanniaceae,tpl;usda, [Partial match] ,
81,Human_alternative,1,1,Haplocarpha lanata,?,,Aplocartha flinata,0,0,Aplocartha flinata,Aplocarya,,0.48,No opinion,,,,tpl, [Partial match] ,
406,Human_alternative,1,,Kedrostis nana,,,Curdrostis nana,0,0,Curdrostis nana,Cedrostis,,0.48,No opinion,,,,tropicos, [Partial match] ,
2108,Human_alternative,1,,Willdenowia glomerata,,,Wildinovia lamerata,0,0,Wildinovia lamerata,Willdenovia,,0.48,No opinion,,,,tpl, [Partial match] ,
197,Human_alternative,1,,Babiana ambigua,,,Bobania ambigua,0,0,Bobania ambigua,Bonania,,0.49,Accepted,Bonania,,Euphorbiaceae,tpl, [Partial match] ,
263,Human_alternative,1,1,Puccinellia fasciculata,Cassine peragua? Oxalis corniculata?,1,Casania cassiculata,0,0,Casania cassiculata,Casasia,,0.49,Accepted,Casasia,,Rubiaceae,tpl;usda, [Partial match] ,
721,Human_alternative,0,,Ficinia sp1,,,Ficina small,0,0,Ficina small,Ficinia,,0.49,Accepted,Ficinia,,Cyperaceae,tpl, [Partial match] ,
927,Human_alternative,1,1,Hordeum geniculatum,,1,Hordium catharticum,0,0,Hordium catharticum,Hordeum,,0.49,Accepted,Hordeum,,Poaceae,tpl;usda, [Partial match] ,
1302,Original,0,,,,,Orchid leaf,0,0,Orchid leaf,Orchis,,0.49,Accepted,Orchis,,Orchidaceae,tpl;usda, [Partial match] ,
1314,Human_alternative,1,1,Ursinia paleacea,,,Orsinia pennelucea,0,0,Orsinia pennelucea,Corsinia,,0.49,Accepted,Corsinia,,Corsiniaceae,tpl;usda, [Partial match] ,
1595,Human_alternative,1,1,Pseudoselago spuria,,,Pseudoselagus spoedo,0,0,Pseudoselagus spoedo,Pseudoselago,,0.49,Accepted,Pseudoselago,,Scrophulariaceae,tpl, [Partial match] ,
1680,Human_alternative,1,1,Romulea flava,,,Romulae larvae,0,0,Romulae larvae,Romulea,,0.49,Accepted,Romulea,,Iridaceae,tpl, [Partial match] ,
1703,Original,0,1,,,,Schoenozipium grassulus,0,0,Schoenozipium grassulus,Schoenoxiphium,,0.49,Accepted,Schoenoxiphium,,Cyperaceae,tpl, [Partial match] ,
2043,Human_alternative,1,,Ursinia paleacea,,,Urcinia paeliaceae,0,0,Urcinia paeliaceae,Uncinia,,0.49,Accepted,Uncinia,,Cyperaceae,tpl;usda, [Partial match] ,
560,Human_alternative,1,,Ursinia paleacea,,,Ercinia paleacea,0,0,Ercinia paleacea,Cercinia,,0.49,No opinion,,,,tpl, [Partial match] ,
1142,Human_alternative,1,,Muraltia thunbergii,,,Meraltea thumbergii,0,0,Meraltea thumbergii,Peraltea,,0.49,No opinion,,,,tpl;ildis, [Partial match] ,
1857,Human_alternative,1,1,Cyphia digitata,,,Sythia digitata,0,0,Sythia digitata,Sethia,,0.49,No opinion,,,,tpl, [Partial match] ,
19,Human_alternative,1,1,Agapanthus africanus,?,,Agathelpis africana,0,0,Agathelpis africana,Agathelpis,,0.5,Accepted,Agathelpis,,Scrophulariaceae,tpl, [Partial match] ,
66,Original,0,,,,,Annual spp,0,0,Annual spp,Anna,,0.5,Accepted,Anna,,Gesneriaceae,tpl, ,
132,Human_alternative,1,,Aspalathus laricifolia,,,Aspalathus larcifolius,0,0,Aspalathus larcifolius,Aspalathus,,0.5,Accepted,Aspalathus,,Fabaceae,tpl;usda, [Partial match] ,
145,Human_alternative,1,1,Aspalathus chenopoda,,,Aspalathus tenpoda,0,0,Aspalathus tenpoda,Aspalathus,,0.5,Accepted,Aspalathus,,Fabaceae,tpl;usda, [Partial match] ,
150,Human_alternative,1,,Asparagus asparagoides,,,Asparagus cesparagoides,0,0,Asparagus cesparagoides,Asparagus,,0.5,Accepted,Asparagus,,Asparagaceae,tpl, [Partial match] ,
203,Original,0,1,,Bobartia? - filiformis? indica? gladiata? Or Oxalis latifolia?,,Bobartia latifolia,0,0,Bobartia latifolia,Bobartia,,0.5,Accepted,Bobartia,,Iridaceae,tpl, [Partial match] ,
245,Human_alternative,1,,Capeobolus brevicaulis,,,Capebolus brevifolius,0,0,Capebolus brevifolius,Capeobolus,,0.5,Accepted,Capeobolus,,Cyperaceae,tpl, [Partial match] ,
265,Human_alternative,1,,Chasmanthe aethiopica,,,Casmanthe ithipica,0,0,Casmanthe ithipica,Chasmanthe,,0.5,Accepted,Chasmanthe,,Iridaceae,tpl;usda, [Partial match] ,
288,Human_alternative,1,1,Chaenostoma hispidum,,,Chaenostoma hirsuta,0,0,Chaenostoma hirsuta,Chaenostoma,,0.5,Accepted,Chaenostoma,,Scrophulariaceae,tpl, [Partial match] ,
331,Original,0,1,,,,Cliffortia africana,0,0,Cliffortia africana,Cliffortia,,0.5,Accepted,Cliffortia,,Rosaceae,tpl, [Partial match] ,
341,Human_alternative,1,,Cliffortia graminea,,,Cliffortia graminieus,0,0,Cliffortia graminieus,Cliffortia,,0.5,Accepted,Cliffortia,,Rosaceae,tpl, [Partial match] ,
354,Original,0,1,,,,Cliffortia tripinoides,0,0,Cliffortia tripinoides,Cliffortia,,0.5,Accepted,Cliffortia,,Rosaceae,tpl, [Partial match] ,
441,Human_alternative,1,1,Cysticapnos vesicaria,,,Cysticapnos vivicareous,0,0,Cysticapnos vivicareous,Cysticapnos,,0.5,Accepted,Cysticapnos,,Papaveraceae,tpl, [Partial match] ,
454,Original,0,1,,,,Dimorphotheca ceca,0,0,Dimorphotheca ceca,Dimorphotheca,,0.5,Accepted,Dimorphotheca,Vaill.,Asteraceae,gcc, [Partial match] [Ambiguous match] ,urn:lsid:compositae.org:names:1D2DBB1F-8C97-4189-B486-3F7FA8DF5006
502,Human_alternative,0,,Ehrharta sp1,,,Ehrharta grass,0,0,Ehrharta grass,Ehrharta,,0.5,Accepted,Ehrharta,,Poaceae,tpl;usda, [Partial match] ,
531,Human_alternative,1,,Elegia filacea,,,Elegia palaceae,0,0,Elegia palaceae,Elegia,,0.5,Accepted,Elegia,,Restionaceae,tpl, [Partial match] ,
535,Human_alternative,1,,Elegia stipularis,,,Elegia stipulacea,0,0,Elegia stipulacea,Elegia,,0.5,Accepted,Elegia,,Restionaceae,tpl, [Partial match] ,
574,Human_alternative,1,,Erica abietina subsp. atrorosea,,,Erica abietina avr atrorosea,0,0,Erica abietina avr atrorosea,Erica abietina,,0.5,Accepted,Erica abietina,L.,Ericaceae,tpl, [Partial match] ,
