spcID	Status	Origin
Euphorbia_terracina	Alien	iSPOT
Fagopyrum_esculentum	Alien	iSPOT
Gastridium_phleoides	Alien	iSPOT
Gastrodia_sesamoides	Alien	iSPOT
Geranium_dissectum	Alien	iSPOT
Geranium_rotundifolium	Alien	iSPOT
Glebionis_coronarium	Alien	iSPOT
Gomphrena_celosioides	Alien	iSPOT
Grevillea_banksii	Alien	iSPOT
Guilleminea_densa	Alien	iSPOT
Hainardia_cylindrica	Alien	iSPOT
Hakea_salicifolia	Alien	iSPOT
Hedychium_coronarium	Alien	iSPOT
Hedychium_flavescens	Alien	iSPOT
Hedypnois_cretica	Alien	iSPOT
Helichrysum_indicum	Alien	iSPOT
Helichrysum_luteoalbum	Alien	iSPOT
Heliotropium_europaeum	Alien	iSPOT
Holcus_lanatus	Alien	iSPOT
Hordeum_murinum	Alien	iSPOT
Hordeum_vulgare	Alien	iSPOT
Hyparrhenia_hirta	Alien	iSPOT
Hypericum_lalandii	Alien	iSPOT
Hypochaeris_glabra	Alien	iSPOT
Hypoestes_phyllostachya	Alien	iSPOT
Indigofera_torulosa	Alien	iSPOT
Juncus_capitatus	Alien	iSPOT
Juncus_imbricatus	Alien	iSPOT
Jussiaea_angustifolia	Alien	iSPOT
Kickxia_spuria	Alien	iSPOT
Lactuca_serriola	Alien	iSPOT
Lagurus_ovatus	Alien	iSPOT
Lamarckia_aurea	Alien	iSPOT
Lamium_amplexicaule	Alien	iSPOT
Lapsana_communis	Alien	iSPOT
Lathyrus_angulatus	Alien	iSPOT
Lathyrus_cicera	Alien	iSPOT
Lathyrus_latifolius	Alien	iSPOT
Lavatera_assurgentiflora	Alien	iSPOT
Lavatera_trimestris	Alien	iSPOT
Lens_culinaris	Alien	iSPOT
Lepidium_virginicum	Alien	iSPOT
Leucadendron_salicifolium	Alien	iSPOT
Leucojum_aestivum	Alien	iSPOT
Leucospermum_cordifolium	Alien	iSPOT
Leucospermum_reflexum	Alien	iSPOT
Ligustrum_sinense	Alien	iSPOT
Linum_usitatissimum	Alien	iSPOT
Lobularia_maritima	Alien	iSPOT
Lolium_multiflorum	Alien	iSPOT
Lolium_perenne	Alien	iSPOT
Lolium_rigidum	Alien	iSPOT
Lolium_temulentum	Alien	iSPOT
Lotus_angustissimus	Alien	iSPOT
Lotus_subbiflorus	Alien	iSPOT
Lotus_uliginosus	Alien	iSPOT
Lupinus_micranthus	Alien	iSPOT
Lythrum_salicaria	Alien	iSPOT
Malcolmia_maritima	Alien	iSPOT
Malva_dendromorpha	Alien	iSPOT
Malva_linnaei	Alien	iSPOT
Malva_nicaeensis	Alien	iSPOT
Marrubium_vulgare	Alien	iSPOT
Medicago_laciniata	Alien	iSPOT
Melaleuca_hypericifolia	Alien	iSPOT
Melaleuca_nesophila	Alien	iSPOT
Melaleuca_quinquenervia	Alien	iSPOT
Melaleuca_styphelioides	Alien	iSPOT
Melilotus_albus	Alien	iSPOT
Melilotus_indicus	Alien	iSPOT
Melinus_repens	Alien	iSPOT
Mercurialis_annua	Alien	iSPOT
Microsorum_scandens	Alien	iSPOT
Modiola_caroliniana	Alien	iSPOT
Moenchia_erecta	Alien	iSPOT
Myoporum_insulare	Alien	iSPOT
Myosotis_arvensis	Alien	iSPOT
Neslia_paniculata	Alien	iSPOT
Nicandra_physalodes	Alien	iSPOT
Nierembergia_linariifolia	Alien	iSPOT
Oenothera_affinis	Alien	iSPOT
Oenothera_biennis	Alien	iSPOT
Oenothera_glazioviana	Alien	iSPOT
Oenothera_indecora	Alien	iSPOT
Oenothera_jamesii	Alien	iSPOT
Oenothera_longiflora	Alien	iSPOT
Oenothera_nocturna	Alien	iSPOT
Oenothera_odorata	Alien	iSPOT
Oenothera_parviflora	Alien	iSPOT
Oenothera_rosea	Alien	iSPOT
Oenothera_stricta	Alien	iSPOT
Opuntia_imbricata	Alien	iSPOT
Ornithopus_compressus	Alien	iSPOT
Orobanche_minor	Alien	iSPOT
Orobanche_ramosa	Alien	iSPOT
Oxalis_corniculata	Alien	iSPOT
Panicum_maximum	Alien	iSPOT
Panicum_repens	Alien	iSPOT
Panicum_subalbidum	Alien	iSPOT
Paronychia_brasiliana	Alien	iSPOT
Paspalum_dilatatum	Alien	iSPOT
Paspalum_distichum	Alien	iSPOT
Paspalum_notatum	Alien	iSPOT
Paspalum_urvillei	Alien	iSPOT
Passiflora_edulis	Alien	iSPOT
Pennisetum_purpureum	Alien	iSPOT
Pennisetum_villosum	Alien	iSPOT
Pereskia_aculeata	Alien	iSPOT
Periballia_minuta	Alien	iSPOT
Petrorhagia_prolifera	Alien	iSPOT
Phalaris_angusta	Alien	iSPOT
Phalaris_aquatica	Alien	iSPOT
Phalaris_canariensis	Alien	iSPOT
Phalaris_minor	Alien	iSPOT
Phoenix_dactylifera	Alien	iSPOT
Phyla_nodiflora	Alien	iSPOT
Physalis_viscosa	Alien	iSPOT
