spcID	Status	Origin
Atriplex_nummularia_Lindley_ssp._nummularia	Alien	SAPIA
Eucalyptus_grandis_W._Hill_ex_Maiden	Alien	SAPIA
Eucalyptus_conferruminata_D.J.Carr_&_S.G.M.Carr	Alien	SAPIA
Pinus_radiata_D._Don	Alien	SAPIA
Toona_ciliata_M.J._Roem.	Alien	SAPIA
Hedychium_gardnerianum_Roscoe	Alien	SAPIA
Hedychium_coronarium_Konig	Alien	SAPIA
Hedychium_coccineum_Buch.-_Ham.	Alien	SAPIA
Acacia_mearnsii_De_Wild.	Alien	SAPIA
Acacia_melanoxylon_R._Br.	Alien	SAPIA
Acacia_saligna_(Labill.)_H.L._Wendl.	Alien	SAPIA
Agave_americana_L.	Alien	SAPIA
Casuarina_cunninghamiana/equisetifolia	Alien	SAPIA
Cuscuta_campestris/suaveolens	Alien	SAPIA
Ipomoea_indica/purpurea	Alien	SAPIA
Lantana_camara_L.	Alien	SAPIA
Melia_azedarach_L.	Alien	SAPIA
Opuntia_ficus-indica_(L.)_Mill.	Alien	SAPIA
Pennisetum_setaceum/villosum	Alien	SAPIA
Pereskia_aculeata_Mill.	Alien	SAPIA
Populus_x_canescens_(Ait.)_J.E._Sm.	Alien	SAPIA
Psidium_sp.	Alien	SAPIA
Ricinus_communis_L.	Alien	SAPIA
Schinus_molle_L.	Alien	SAPIA
Sesbania_punicea_(Cav.)_Benth.	Alien	SAPIA
Solanum_mauritianum_Scop.	Alien	SAPIA
Acacia_cyclops_A._Cunn._ex_G._Don	Alien	SAPIA
Echium_plantagineum/vulgare	Alien	SAPIA
Leptospermum_laevigatum_(Gaertn.)_F._Muell.	Alien	SAPIA
Nicotiana_glauca_R.C._Grah.	Alien	SAPIA
Pinus_pinaster_Ait.	Alien	SAPIA
Acacia_decurrens_Willd.	Alien	SAPIA
Cinnamomum_camphora_(L.)_J._Presl.	Alien	SAPIA
Rubus_cuneifolius_Pursh.	Alien	SAPIA
Caesalpinia_decapetala_(Roth)_Alston	Alien	SAPIA
Eucalyptus_camaldulensis_Dehnh.	Alien	SAPIA
Populus_alba/canescens	Alien	SAPIA
Senna_didymobotrya_(Fresen.)_Irwin_&_Barneby	Alien	SAPIA
Jacaranda_mimosifolia_D._Don	Alien	SAPIA
Nerium_oleander_L.	Alien	SAPIA
Agave_sisalana_Perrine	Alien	SAPIA
Eucalyptus_cladocalyx_F._Muell.	Alien	SAPIA
Invader_Absent	Alien	SAPIA
Paraserianthes_lophantha_(Willd.)_Nielsen	Alien	SAPIA
Acacia_baileyana_F._Muell.	Alien	SAPIA
Chromolaena_odorata_(L.)_R.M._King_&_H._Robinson	Alien	SAPIA
Crataegus_x_lavallei_Herincq.	Alien	SAPIA
Pinus_patula_Schlechtd._&_Cham.	Alien	SAPIA
Tecoma_stans_(L.)_H.B.K.	Alien	SAPIA
Arundo_donax_L.	Alien	SAPIA
Cereus_jamacaru_DC.	Alien	SAPIA
Commelina_benghalensis_L.	Alien	SAPIA
Grevillea_robusta_A._Cunn.	Alien	SAPIA
Zinnia_peruviana_(L.)_L.	Alien	SAPIA
Prosopis_glandulosa_var._torreyana/velutina	Alien	SAPIA
Cylindropuntia_imbricata_(Haw.)_F.M.Knuth	Alien	SAPIA
Eucalyptus_diversicolor_F._Muell.	Alien	SAPIA
Acacia_elata_A._Cunn._ex_Benth.	Alien	SAPIA
