Site/plot	Subplot	Date	Genus	species	Regen_mode	no	Max_height	prop_cov_alive	prop_cov
39.2	D	30.01.15	Aspalathus	capensis	S	1	80	20	20
39.2	D	30.01.15	Elytropappus	scaber	S	1	70	20	20
39.2	D	30.01.15	Anaxeton	laevae	S	5	60	5	10
39.2	D	30.01.15	Stoebe	cinerea	S	2	60	5	20
39.2	D	30.01.15	Erica	muscosa	S	1	80	5	5
39.2	D	30.01.15	Erica	subcapitata	S	0	70	1	1
39.2	D	30.01.15	Macrostylis	villosa	S	1	10	0.5	0.5
39.3	E	30.01.15	Leucadendron	laureolum	S	1	100	25	25
39.3	E	30.01.15	Aspalathus	capensis	S	1	120	20	20
39.3	E	30.01.15	Stoebe	cinerea	S	0	65	5	30
39.3	E	30.01.15	Ficinia	bulbosa	S	1	20	1	1
39.3	E	30.01.15	Tribolium	uniolae	S	1	20	1	1
39.3	E	30.01.15	Metalasia	densa	S	0	80	0.5	0.5
39.3	E	30.01.15	Elytropappus	scaber	S	0	50	2	3
39.3	F	30.01.15	Leucadendron	laureolum	S	2	100	20	20
39.3	F	30.01.15	Aspalathus	capensis	S	1	90	30	30
39.3	F	30.01.15	Restio	capensis	R	1	35	10	15
39.3	F	30.01.15	Metalasia	densa	S	2	90	20	20
39.3	F	30.01.15	Watsonia	borbonica	R	0	50	0	10
39.3	F	30.01.15	Cullumia	setosa	S	2	50	4	10
39.3	F	30.01.15	Carpobrotus	edulis	S	1	10	5	5
39.3	F	30.01.15	Erica	subcapitata	S	0	120	2	2
39.3	F	30.01.15	Ficinia	bulbosa	S	2	10	1	1
39.3	F	30.01.15	Tritoniopsis	unguicularis	R	2	30	0	4
39.4	G	30.01.15	Leucadendron	laureolum	S	1	110	50	50
39.4	G	30.01.15	Erica	muscosa	S	1	60	25	25
39.4	G	30.01.15	Elytropappus	scaber	S	2	50	20	20
39.4	G	30.01.15	Cullumia	setosa	S	2	50	3	10
39.4	G	30.01.15	Passerina	corymbosa	S	2	60	5	5
39.4	G	30.01.15	Erica	subcapitata	S	3	70	15	15
39.4	G	30.01.15	Cliffortia	atrata	S	1	40	2	2
39.4	G	30.01.15	Stoebe	cinerea	S	2	50	15	15
39.4	G	30.01.15	Restio	capensis	R	2	35	10	15
39.4	G	30.01.15	Elegia	stipularis	S	1	45	0	20
39.4	G	30.01.15	Metalasia	densa	S	1	30	1	1
39.4	H	30.01.15	Leucadendron	laureolum	S	1	50	15	15
39.4	H	30.01.15	Aspalathus	capensis	S	1	50	2	2
39.4	H	30.01.15	Elytropappus	scaber	S	0	40	15	15
39.4	H	30.01.15	Passerina	corymbosa	S	3	50	10	10
39.4	H	30.01.15	Restio	capensis	R	1	30	3	5
39.4	H	30.01.15	Crassula	fascicularis	S	1	20	0	1
39.4	H	30.01.15	Erica	subcapitata	S	1	30	1	1
39.4	H	30.01.15	Adenandra	villosa	S	1	25	2	2
39.4	H	30.01.15	Anaxeton	laevae	S	1	30	1	1
39.4	H	30.01.15	Ficnia	bulbosa	S	2	10	1	1
39.4	H	30.01.15	Thamnochortus	sporadicus	R	1	30	2	2
39.5	I	30.01.15	Leucadendron	laureolum	S	0	70	20	20
39.5	I	30.01.15	Aspalathus	capensis	S	2	45	10	10
39.5	I	30.01.15	Passerina	paleacea	S	5	50	15	15
39.5	I	30.01.15	Cullumia	setosa	S	4	50	3	8
39.5	I	30.01.15	Restio	capensis	R	3	40	20	25
39.5	I	30.01.15	Erica	muscosa	S	1	30	10	10
39.5	I	30.01.15	Adenandra	villosa	S	1	15	1	1
39.5	I	30.01.15	Metalasia	densa	S	1	10	0.2	0.2
39.5	I	30.01.15	Erica	similis	S	0	35	1	1
39.5	I	30.01.15	Thamnochortus	gracilis	R	3	50	20	20
39.5	J	30.01.15	Thesium	viridifolium	S	1	30	10	10
39.5	J	30.01.15	Elytropappus	scaber	S	1	50	10	10
39.5	J	30.01.15	Stoebe	cinerea	S	1	50	25	30
39.5	J	30.01.15	Restio	capensis	R	3	50	10	15
39.5	J	30.01.15	Erica	muscosa	S	2	40	5	5
39.5	J	30.01.15	Thamnochortus	lucens	R	3	50	15	15
39.5	J	30.01.15	Leucadendron	laureolum	S	7	70	40	40
39.5	J	30.01.15	Metalasia	muricata	S	1	30	1	1
39.5	J	30.01.15	Erica	subcapitata	S	0	60	2	2
39.6	K	30.01.15	Thamnochortus	lucens	R	1	40	15	20
39.6	K	30.01.15	Cullumia	setosa	S	3	40	5	10
39.6	K	30.01.15	Cliffortia	ruscifolia	S	1	20	10	10
39.6	K	30.01.15	Passerina	corymbosa	S	3	45	20	20
39.6	K	30.01.15	Cliffortia	polygonifolia	S	1	35	1	1
39.6	K	30.01.15	Elytropappus	scaber	S	1	30	10	10
39.6	K	30.01.15	Erica	subcapitata	S	1	40	5	5
39.6	K	30.01.15	Willdenowia	glomerata	S	1	80	1	1
39.6	K	30.01.15	Restio	capensis	R	2	35	4	8
39.6	K	30.01.15	Erica	muscosa	S	0	40	1	1
39.6	L	30.01.15	Leucadendron	laureolum	S	0	60	25	25
39.6	L	30.01.15	Tribolium	uniolae	S	1	35	2	5
39.6	L	30.01.15	Restio	capensis	R	1	40	30	35
39.6	L	30.01.15	Cliffortia	ruscifolia	S	2	30	7	7
39.6	L	30.01.15	Passerina	corymbosa	S	1	40	2	2
39.6	L	30.01.15	Stoebe	cinerea	S	0	50	2	3
39.6	L	30.01.15	Elytropappus	scaber	S	0	40	2	2
39.6	L	30.01.15	Erica	subcapitata	S	0	40	1	1
50.1	A	28.01.15	Leucadendron	coniferum	S	0	200	50	50
50.1	A	28.01.15	Metalasia	muricata_(lg)	S	0	130	40	40
50.1	A	28.01.15	Willdenowia	teres	R	0	140	20	25
50.1	A	28.01.15	Metalasia	muricata	S	0	185	20	20
50.1	A	28.01.15	Chaenostoma	hispida	S	5	30	10	10
50.1	A	28.01.15	Senecio	hastatus	S	5	30	5	8
50.1	A	28.01.15	Cullumia	squarrosa	S	0	70	1	8
50.1	A	28.01.15	Hellmuthia	membranacea	S	2	40	1	3
50.1	A	28.01.15	Ehrharta	villosa	S	1	50	0.5	1
50.1	A	28.01.15	Pentameris	calcicola	S	1	20	1	1
50.1	A	28.01.15	Cliffortia	obcordata	S	0	30	0.5	0.5
50.1	A	28.01.15	Restio	eleocharis	S	1	20	0.5	0.5
50.1	B	28.01.15	Willdenowia	teres	R	2	110	50	60
50.1	B	28.01.15	Passerina	paleacea	S	1	130	40	40
50.1	B	28.01.15	Indigofera	brachystachya	S	1	50	2	2
50.1	B	28.01.15	Pelargonium	capitatum	S	1	10	0.5	0.5
50.1	B	28.01.15	Pentameris	calcicola	S	1	10	0.5	0.5
50.1	B	28.01.15	Manulea	tomentosa	S	1	20	1	1
50.1	B	28.01.15	Trachyandra	sp	S	1	30	1	1
50.2	C	28.01.15	Manulea	tomentosa	S	2	30	2	3
50.2	C	28.01.15	Briza	maxima	S	3	30	0	2
50.2	C	28.01.15	Carpobrotus	acinaciformis	S	3	10	10	15
50.2	C	28.01.15	Helichrysum	patulum	S	0	40	0.5	1
50.2	C	28.01.15	Pentameris	calcicola	S	2	20	1	1
50.2	C	28.01.15	Hellmuthia	membranacea	S	0	80	1	1
50.2	D	28.01.15	Metalasia	muricata_(lg)	S	1	175	8	80
50.2	D	28.01.15	Searsia	glauca	S	0	160	5	5
50.2	D	28.01.15	Dipogon	lignosus	S	1	120	1	1
50.2	D	28.01.15	Willdenowia	teres	R	2	130	25	25
50.2	D	28.01.15	Hellmuthia	membranacea	S	1	30	1	1
50.2	D	28.01.15	Colpoon	compressum	S	1	10	0.2	0.2
50.2	D	28.01.15	Polygala	myrtifolia	S	1	30	1	1
50.2	D	28.01.15	Passerina	paleacea_(dead)	S	1	130	0	20
50.2	D	28.01.15	Pentameris	calcicola	S	2	15	0.5	1
50.3	E	28.01.15	Cullumia	squarrosa	S	1	40	0	35
50.3	E	28.01.15	Searsia	laevigata	R	1	120	40	40
50.3	E	28.01.15	Cliffortia	obcordata	S	1	100	35	35
50.3	E	28.01.15	Indigofera	brachystachya	S	1	120	25	25
50.3	E	28.01.15	Anthospermum	aethiopicum	S	1	60	1	1
50.3	E	28.01.15	Senecio	hastatus	S	2	15	1	1
50.3	E	28.01.15	Metalasia	muricata	S	0	220	15	15
50.3	E	28.01.15	Metalasia	muricata_(lg)	S	0	200	20	20
50.3	E	28.01.15	Chironia	baccifera	S	0	100	1	1
50.3	E	28.01.15	Otholobium	fruticans	S	1	30	0.2	0.2
50.3	F	28.01.15	Metalasia	muricata_(lg)	S	1	250	100	100
50.3	F	28.01.15	Euclea	racemosa	S	1	50	2	2
50.3	F	28.01.15	Willdenowia	teres	R	2	180	30	35
50.3	F	28.01.15	Searsia	glauca	R	0	160	2	2
50.3	F	28.01.15	Leucadendron	coniferum	S	0	230	2	2
50.3	F	28.01.15	Lobostemon	montanus_(dead)	S	1	80	0	20
50.4	G	28.01.15	Leucadendron	coniferum	S	0	150	100	100
50.4	G	28.01.15	Osteospermum	monoliferum	S	5	80	20	20
50.4	G	28.01.15	Helichrysum	patulum	S	0	50	10	20
50.4	G	28.01.15	Pentameris	calcicola	S	7	20	6	10
50.4	G	28.01.15	Chaenostoma	hispida	S	1	10	2	2
50.4	G	28.01.15	Restio	eleocharis	R	5	20	0	20
50.4	G	28.01.15	Cliffortia	obcordata	S	1	100	5	5
50.4	H	28.01.15	Restio	eleocharis	R	2	20	2	3
50.4	H	28.01.15	Silene	bellidioides	S	1	25	0.5	1
50.4	H	28.01.15	Pentameris	calcicola	S	2	30	3	4
50.4	H	28.01.15	Senecio	hastatus	S	1	30	2	5
50.4	H	28.01.15	Tarchonanthus	littoralis	R	0	180	25	25
50.4	H	28.01.15	Metalasia	muricata	S	0	190	25	25
50.4	H	28.01.15	Willdenowia	teres	R	0	110	5	5
50.4	H	28.01.15	Helichrysum	patulum	S	1	30	2	3
50.4	H	28.01.15	Chaenostoma	hispida	S	1	20	1	1
50.4	H	28.01.15	Polygala	myrtifolia	S	0	20	0.5	0.5
50.4	H	28.01.15	Anthospermum	aethiopicum	S	1	100	1	1
50.4	H	28.01.15	Hellmuthia	membranacea	S	1	70	1	1
50.4	H	28.01.15	Ehrharta	calycina	S	1	20	1	1
50.5	I	29.01.15	Chaenostoma	hispida	S	1	30	2	2
50.5	I	29.01.15	Willdenowia	teres	R	1	120	100	100
50.5	I	29.01.15	Metalasia	muricata_(lg)	S	1	200	75	75
50.5	I	29.01.15	Searsia	glauca	R	0	120	20	20
50.5	I	29.01.15	Cliffortia	obcordata	S	0	130	10	10
50.5	J	29.01.15	Metalasia	muricata	S	0	180	100	100
50.5	J	29.01.15	Willdenowia	teres	R	1	140	50	70
50.5	J	29.01.15	Passerina	paleacea_	S	1	150	20	20
50.5	J	29.01.15	Senecio	hastatus	S	1	10	1	1
50.5	J	29.01.15	Helichrysum	patulum	S	1	20	1	1
50.6	K	29.01.15	Willdenowia	teres	R	1	120	40	60
50.6	K	29.01.15	Cliffortia	obcordata	S	0	170	40	40
50.6	K	29.01.15	Metalasia	muricata	S	0	200	100	100
50.6	K	29.01.15	Carpobrotus	acinaciformis	S	1	10	0	20
50.6	K	29.01.15	Hellmuthia	membranacea	S	1	30	0.5	0.5
50.6	K	29.01.15	Ehrharta	villosa	S	1	20	0.5	0.5
50.6	L	29.01.15	Metalasia	muricata_(lg)	S	0	175	60	60
50.6	L	29.01.15	Leucadendron	coniferum	S	0	190	35	35
50.6	L	29.01.15	Cullumia	squarrosa	S	0	130	0	20
49.1	A	26.01.15	Searsia	glauca	R	1	100	20	20
49.1	A	26.01.15	Olea	exasperata	R	4	100	95	95
49.1	A	26.01.15	Helichrysum	patulum	S	2	40	3	4
49.1	A	26.01.15	Pentameris	calcicola	S	18	25	10	40
49.1	A	26.01.15	Polygala	myrtifolia	S	0	110	2	2
49.1	A	26.01.15	Ficinia	ramosissima	R	1	15	1	2
49.1	A	26.01.15	Chrysocoma	coma.aurea	S	1	15	0.5	0.5
49.1	A	26.01.15	Restio	eleocharis	R	2	20	1	2
49.1	A	26.01.15	Senecio	repandus	S	3	10	0.5	1
49.1	A	26.01.15	Zaluzianskya	capensis	S	1	10	0.3	0.3
49.1	A	26.01.15	Colpoon	compressum	S	1	5	0.2	0.2
49.1	A	26.01.15	Searsia	laevigata	S	1	10	0.3	0.3
49.1	B	26.01.15	Metalasia	densa	S	1	150	20	25
49.1	B	26.01.15	Cliffortia	obcordata	S	1	120	75	80
49.1	B	26.01.15	Willdenowia	teres	R	2	90	15	20
49.1	B	26.01.15	Euclea	racemosa	R	1	90	25	25
49.1	B	26.01.15	Restio	vimineus	R	1	100	15	20
49.1	B	26.01.15	Anthospermum	aethiopicum	S	1	70	3	3
49.1	B	26.01.15	Pentameris	calcicola	S	1	15	0.5	1
49.1	B	26.01.15	Olea	exasperata	S	1	15	0.5	0.5
49.2	C	26.01.15	Olea	exasperata	R	1	120	50	50
49.2	C	26.01.15	Restio	vimineus	R	2	80	20	20
49.2	C	26.01.15	Erica	coccinea	S	1	20	1	1
49.2	C	26.01.15	Ficinia	ramosissima	R	2	15	1	1
49.2	C	26.01.15	Restio	eleocharis	R	2	20	3	6
49.2	C	26.01.15	Chrysanthemoides	monilifera	S	1	90	10	20
49.2	C	26.01.15	Cliffortia	obcordata	S	2	100	50	50
49.2	C	26.01.15	Ehrharta	ramosa	S	1	40	1	1
49.2	C	26.01.15	Pentameris	pallida	S	1	10	1	2
49.2	C	26.01.15	Scabiosa	africana	S	2	10	1	2
49.2	C	26.01.15	Senecio	repandus	S	1	10	0.5	0.5
49.2	C	26.01.15	Anthospermum	aethiopicum	S	1	70	1	1
49.2	D	26.01.15	Chrysanthemoides	monilifera	S	1	130	0.5	60
49.2	D	26.01.15	Scabiosa	africana	S	1	20	2	3
49.2	D	26.01.15	Pentameris	calcicola	S	3	30	2	3
49.2	D	26.01.15	Ficinia	ramosissima	R	3	15	15	20
49.2	D	26.01.15	Restio	eleocharis	R	1	30	3	5
49.2	D	26.01.15	Trichogyne	ambigua	S	1	10	1	3
49.2	D	26.01.15	Helichrysum	patulum	S	0	70	0.5	5
49.2	D	26.01.15	Euclea	racemosa	S	1	5	0.2	0.2
49.3	E	26.01.15	Metalasia	muricata_(lg)	S	0	160	100	100
49.3	E	26.01.15	Euclea	racemosa	R	1	40	5	5
49.3	E	26.01.15	Cliffortia	obcordata	S	1	40	1	1
49.3	E	26.01.15	Erica	coccinea	S	1	15	0.5	0.5
49.3	E	26.01.15	Anthospermum	aethiopicum	S	1	20	2	2
49.3	E	26.01.15	Restio	eleocharis	R	4	20	10	25
49.3	E	26.01.15	Restio	vimineus	R	1	80	15	20
49.3	E	26.01.15	Passerina	paleacea	S	0	150	15	15
49.3	E	26.01.15	Helichrysum	patulum	S	0	80	1	2
49.3	E	26.01.15	Willdenowia	teres	R	0	60	2	2
49.3	F	26.01.15	Colpoon	compressum	R	0			
49.3	F	26.01.15	Ficinia	ramosissima	R	6	15	10	15
49.3	F	26.01.15	Willdenowia	teres	R	2	50	1	1
49.3	F	26.01.15	Helichrysum	patulum	S	3	10	1	1
49.3	F	26.01.15	Myrsine	africana	R	3	10	2	2
49.3	F	26.01.15	Restio	vimineus	R	4	60	20	20
49.3	F	26.01.15	Scabiosa	africana	S	2	10	1	1
49.3	F	26.01.15	Restio	eleocharis	R	2	15	1	2
49.3	F	26.01.15	Robsonodendron	maritimum	R	0	130	2	2
49.3	F	26.01.15	Leucadendron	coniferum	S	1	100	20	20
49.3	F	26.01.15	Chaenostoma	hirsuta	S	1	5	0.1	0.1
49.4	G	26.01.15	Cliffortia	obcordata	S	0	50	20	20
49.4	G	26.01.15	Tetraria	brachyphylla	R	1	80	20	20
49.4	G	26.01.15	Pentameris	calcicola	S	7	20	5	10
49.4	G	26.01.15	Ficinia	ramosissima	R	3	15	1	1
49.4	G	26.01.15	Ficinia	tenuifolia	R	1	20	1	2
49.4	G	26.01.15	Zaluzianskya	capensis	S	1	30	0	1
49.4	G	26.01.15	Cullumia	squarrosa	S	0	80	3	5
49.4	H	26.01.15	Olea	exasperata	R	1	80	40	40
49.4	H	26.01.15	Hellmuthia	membranacea	S	3	40	3	8
49.4	H	26.01.15	Trichogyne	ambigua	S	1	10	5	15
49.4	H	26.01.15	Senecio	repandus	S	1	10	1	1
49.4	H	26.01.15	Metalasia	muricata	S	0	120	20	20
49.4	H	26.01.15	Anthospermum	aethiopicum	S	1	40	2	2
49.4	H	26.01.15	Ficinia	ramosissima	R	5	15	3	6
49.4	H	26.01.15	Restio	eleocharis	R	3	15	2	5
49.4	H	26.01.15	Koeleria	capensis	S	2	20	0	1
49.4	H	26.01.15	Zaluzianskya	capensis	S	1	30	0	1
49.4	H	26.01.15	Pentameris	calcicola	S	6	30	1	3
49.4	H	26.01.15	Otholobium	fruticans	S	0	65	2	2
49.4	H	26.01.15	Ehrharta	ramosa	S	1	20	1	1
49.5	I	26.01.15	Cassine	peragua	R	1	110	35	35
49.5	I	26.01.15	Tribolium	hispidum	S	1	20	1	1
49.5	I	26.01.15	Ficinia	ramosissima	R	3	15	2	2
49.5	I	26.01.15	Restio	eleocharis	R	6	15	10	15
49.5	I	26.01.15	Pentameris	calcicola	S	7	20	5	10
49.5	I	26.01.15	Restio	vimineus	R	1	40	5	5
49.5	I	26.01.15	Koeleria	capensis	S	1	40	1	1
49.5	I	26.01.15	Euclea	racemosa	S	1	35	0.5	0.5
49.5	J	26.01.15	Satyrium	carneum	R	4	50	0	7
49.5	J	26.01.15	Cliffortia	obcordata	S	2	60	75	75
49.5	J	26.01.15	Osteospermum	monoliferum	S	1	65	2	10
49.5	J	26.01.15	Anthospermum	aethiopicum	S	2	60	10	10
49.5	J	26.01.15	Restio	vimineus	R	1	60	5	10
49.5	J	26.01.15	Restio	eleocharis	R	5	30	5	10
49.5	J	26.01.15	Scabiosa	africana	S	1	10	0.5	0.5
49.5	J	26.01.15	Ficinia	ramosissima	R	2	10	1	2
49.6	K	26.01.15	Searsia	laevigata	R	1	200	60	75
49.6	K	26.01.15	Salvia	africana.lutea	S	1	130	10	10
49.6	K	26.01.15	Searsia	glauca	R	0	130	5	5
49.6	K	26.01.15	Chaenostoma	hispidum	S	3	30	6	6
49.6	K	26.01.15	Ficinia	ramosissima	R	6	20	15	20
49.6	K	26.01.15	Restio	vimineus	R	0	130	5	5
49.6	K	26.01.15	Euclea	racemosa	R	1	100	10	10
49.6	K	26.01.15	Scabiosa	columbaria	S	1	10	1	1
49.6	K	26.01.15	Cassine	peragua	R	0	130	1	1
49.6	K	26.01.15	Dipogon	lignosus	S	0	100	1	1
49.6	L	26.01.15	Cliffortia	obcordata	S	0	100	50	50
49.6	L	26.01.15	Restio	vimineus	R	1	90	35	35
49.6	L	26.01.15	Restio	eleocharis	R	3	20	5	10
49.6	L	26.01.15	Chrysocoma	coma.aurea	S	1	10	1	1
49.6	L	26.01.15	Ficinia	ramosissima	R	3	10	2	3
49.6	L	26.01.15	Wachendorfia	paniculata	R	3	10	0	1
23.1	A	14.01.15	Leucadendron	laureolum	S	3	110	15	15
23.1	A	14.01.15	Searsia	lucida	R	1	130	45	45
23.1	A	14.01.15	Cullumia	setosa	S	1	100	10	10
23.1	A	14.01.15	Elytropappus	scaber	S	1	50	10	10
23.1	A	14.01.15	Cassytha	ciliolata	S	1	120	10	20
23.1	A	14.01.15	Pseudopentameris	macrantha	R	1	100	20	20
23.1	A	14.01.15	Liparia	parva	S	1	20	2	2
23.1	A	14.01.15	Ficinia	filiformis	S	1	10	0.5	1
23.1	A	14.01.15	Stoebe	cinerea	S	1	60	5	5
23.1	A	14.01.15	Mimetes	fimbrifolius	R	0	180	10	10
23.1	A	14.01.15	Amphithalea	ericifolia	S	0	1	1	
23.1	B	14.01.15	Erica	abietina	S	1	80	30	3
23.1	B	14.01.15	Erica	similis	S	2	60	55	55
23.1	B	14.01.15	Diospyros	glabra	S	1	35	10	10
23.1	B	14.01.15	Restio	cincinnatus	S	4	20	15	15
23.1	B	14.01.15	Cassytha	ciliolata	S	1	70	10	10
23.1	B	14.01.15	Pseudopentameris	macrantha	R	2	40	30	35
23.1	B	14.01.15	Leucadendron	laureolum	S	0	50	2	2
23.2	C	15.01.15	Capelio	tabularis	R	2	40	10	10
23.2	C	15.01.15	Erica_	similis	S	1	85	40	40
23.2	C	15.01.15	Cullumia	setosa	S	0	70	10	10
23.2	C	15.01.15	Leucadendron	laureolum	S	0	140	20	20
23.2	C	15.01.15	Pseudopentameris	macrantha	R	2	70	70	80
23.2	C	15.01.15	Cassytha	ciliolata	S	1	80	5	5
23.2	C	15.01.15	Bolusafra	bituminosa	S	1	30	2	2
23.2	D	15.01.15	Hypodiscus	aristatus	R	1	120	35	45
23.2	D	15.01.15	Leucadendron	laureolum	S	0	120	10	10
23.2	D	15.01.15	Cullumia	setosa	S	1	50	1	1
23.2	D	15.01.15	Pseudopentameris	macrantha	R	2	120	30	35
23.2	D	15.01.15	Erica	similis	S	2	50	15	15
23.2	D	15.01.15	Erica	subcapitata	S	1	100	10	10
23.2	D	15.01.15	Erica	abietina	S	0	50	5	5
23.2	D	15.01.15	Erica	plukenetii	S	0	85	3	3
23.2	D	15.01.15	Cassytha	ciliolata	S	1	100	0	2
23.3	E	15.01.15	Restio	cincinnatus	R	1	30	5	5
23.3	E	15.01.15	Pelargonium	cucullatum	S	1	10	0.5	2
23.3	E	15.01.15	Stoebe	cinerea	S	0	100	2	2
23.3	E	15.01.15	Leucadendron	laureolum	S	0	40	6	6
23.3	E	15.01.15	Erica	similis	S	1	3	0.1	0.1
23.3	E	15.01.15	Cassytha	ciliolata	S	0	30	2	2
23.3	E	15.01.15	Aspalathus	capensis	S	0	150	2	2
23.3	F	15.01.15	Elegia	racemosa	R	1	170	60	70
23.3	F	15.01.15	Erica	similis	S	1	90	25	25
23.3	F	15.01.15	Erica	subcapitata	S	1	90	2	2
23.3	F	15.01.15	Leucadendron	laureolum	S	4	130	15	15
23.3	F	15.01.15	Pseudopentameris	macrantha	R	3	100	40	50
23.3	F	15.01.15	Cassytha	ciliolata	S	1	100	10	10
23.3	F	15.01.15	Willdenowia	glomerata	R	0	50	1	2
23.3	F	15.01.15	Thamnochortus	gracilis	S	1	30	2	3
23.3	F	15.01.15	Cullumia	setosa	S	1	70	1	1
23.3	F	15.01.15	Anaxeton	laevis	S	1	30	0.5	2
23.3	F	15.01.15	Stoebe	cinerea	S	1	100	1	1
23.4	G	15.01.15	Aspalathus	capensis	S	1	50	3	3
23.4	G	15.01.15	Erica	subcapitata	S	10	50	50	50
23.4	G	15.01.15	Tetraria	eximia	R	4	20	10	20
23.4	G	15.01.15	Restio	cincinnatus	R	2	20	10	10
23.4	G	15.01.15	Hypodiscus	aristatus	R	1	50	5	6
23.4	G	15.01.15	Leucospermum	conocarpodendron	S	0	30	0.5	0.5
23.4	G	15.01.15	Thamnochortus	gracilis	R	1	40	1	1
23.4	G	15.01.15	Thamnochortus	fruticosus	R	1	15	0.5	0.5
23.4	H	15.01.15	Leucadendron	laureolum	S	1	120	5	5
23.4	H	15.01.15	Anthospermum	aethiopicum	S	5	120	20	20
23.4	H	15.01.15	Cullumia	setosa	S	2	50	10	10
23.4	H	15.01.15	Struthiola	ciliata	S	2	70	10	10
23.4	H	15.01.15	Pseudopentameris	macrantha	R	2	80	40	50
23.4	H	15.01.15	Anaxeton	laeve	S	1	10	0.5	0.5
23.4	H	15.01.15	Erica	similis	S	0	60	1	1
23.4	H	15.01.15	Ficinia	filiformis	S	1	10	0.5	1
23.5	I	15.01.15	Hypodiscus	aristatus	R	2	50	25	40
23.5	I	15.01.15	Aspalathus	capensis	S	1	50	1	1
23.5	I	15.01.15	Erica	similis	S	5	40	35	35
23.5	I	15.01.15	Struthiola	ciliata	S	1	35	1	1
23.5	I	15.01.15	Thamnochortus	fruticosus	R	5	30	10	10
23.5	I	15.01.15	Anaxeton	laeve	S	2	50	2	5
23.5	I	15.01.15	Leucadendron	laureolum	S	0	40	2	2
23.5	I	15.01.15	Stoebe	cinerea	S	2	45	2	2
23.5	I	15.01.15	Tetraria	eximia	R	1	20	1	1
23.5	I	15.01.15	Cullumia	setosa	S	2	40	3	5
23.5	I	15.01.15	Liparia	parva	S	1	20	1	1
23.5	I	15.01.15	Edmondia	sesamoides	S	1	35	1	1
23.5	I	15.01.15	Tetraria	exilis	S	3	15	1	2
23.5	I	15.01.15	Restio	cincinnatus	R	3	20	4	4
23.5	J	15.01.15	Struthiola	ciliata	S	1	45	1	1
23.5	J	15.01.15	Cullumia	setosa	S	2	50	10	10
23.5	J	15.01.15	Cassytha	ciliolata	S	1	60	10	10
23.5	J	15.01.15	Stoebe	cinerea	S	1	70	15	15
23.5	J	15.01.15	Anaxeton	laeve	S	3	50	1	2
23.5	J	15.01.15	Mimetes	fimbrifolius	R	0	250	80	80
23.5	J	15.01.15	Erica	similis	S	1	60	5	5
23.5	J	15.01.15	Restio	cincinnatus	R	2	35	3	3
23.6	K	15.01.15	Erica	muscosa	S	1	40	1	1
23.6	K	15.01.15	Erica	similis	S	18	40	80	80
23.6	K	15.01.15	Pseudopentameris	macrantha	R	2	40	15	15
23.6	K	15.01.15	Willdenowia	teres	R	1	40	5	5
23.6	K	15.01.15	Restio	cincinnatus	R	2	20	2	2
23.6	K	15.01.15	Searsia	lucida	R	0	40	1	1
23.6	K	15.01.15	Cassytha	ciliolata	S	0	40	2	2
23.6	K	15.01.15	Cullumia	setosa	S	1	30	1	1
23.6	L	15.01.15	Leucadendron	laureolum	S	1	50	5	5
23.6	L	15.01.15	Cullumia	setosa	S	2	30	4	4
23.6	L	15.01.15	Erica	muscosa	S	1	50	5	5
23.6	L	15.01.15	Anthospermum	aethiopicum	S	1	50	4	4
23.6	L	15.01.15	Erica	similis	S	0	40	1	1
23.6	L	15.01.15	Restio	cincinnatus	R	5	30	35	35
23.6	L	15.01.15	Pseudopentameris	macrantha	R	2	60	25	30
23.6	L	15.01.15	Stoebe	cinerea	S	0	50	1	1
48.1	A	14.01.15	Erica	plukenetii	S	5	50	25	25
48.1	A	14.01.15	Leucospermum	conocarpodendron	S	1	150	20	20
48.1	A	14.01.15	Anthospermum	aethiopicum	S	3	90	10	10
48.1	A	14.01.15	Aspalathus	ericifolia	S	0	50	5	5
48.1	A	14.01.15	Montinia	caryophyllacea	S	1	20	1	1
48.1	A	14.01.15	Acacia	saligna	S	5	150	20	20
48.1	A	14.01.15	Watsonia	borbonica	R	3	90	0	25
48.1	A	14.01.15	Elytropappus	scaber	S	0	50	1	1
48.1	A	14.01.15	Phylica	imberbis	S	1	40	1	1
48.1	A	14.01.15	Aristea	capitata	S	1	20	2	2
48.1	A	14.01.15	Tritoniopsis	triticea	S	1	20	1	1
48.1	B	14.01.15	Erica	plukenetii	S	5	80	70	70
48.1	B	14.01.15	Elytropappus	scaber	S	0	110	20	20
48.1	B	14.01.15	Anthospermum	aethiopicum	S	1	85	10	10
48.1	B	14.01.15	Struthiola	ciliata	S	2	80	4	4
48.1	B	14.01.15	Ficinia	deusta	R	1	10	1	3
48.1	B	14.01.15	Restio	capensis	S	2	10	0.5	2
48.1	B	14.01.15	Metalasia	densa	S	0	100	1	1
48.2	C	14.01.15	Passerina	corymbosa	S	1	200	0	100
48.2	C	14.01.15	Anthospermum	aethiopicum	S	4	50	18	18
48.2	C	14.01.15	Elytropappus	scaber	S	0	60	10	10
48.2	C	14.01.15	Erica	plukenetii	S	2	45	10	10
48.2	C	14.01.15	Watsonia	borbonica	S	3	80	1	12
48.2	D	14.01.15	Metalasia	densa	S	1	130	50	50
48.2	D	14.01.15	Erica	plukenetii	S	1	50	40	40
48.2	D	14.01.15	Acacia	saligna	S	1	30	2	2
48.2	D	14.01.15	Passerina	corymbosa	S	2	80	10	10
