comb	LocID	variable	PlotPres	SubPlotPres
1__Agathosma_sp3	1	Agathosma_sp3	0	1
1__Aspalathus_ericifolia	1	Aspalathus_ericifolia	0	6.1
1__Asparagus_sp3	1	Asparagus_sp3	0	1
1__Cannomois_virgata	1	Cannomois_virgata	0	6
1__Cliffortia_filifolia	1	Cliffortia_filifolia	0	1
1__Clutia_polygonoides	1	Clutia_polygonoides	0	1
1__Cyanella_hyacinthoides	1	Cyanella_hyacinthoides	0	1
1__Ficinia_bulbosa	1	Ficinia_bulbosa	0	93
1__Ficinia_oligantha	1	Ficinia_oligantha	0	12
1__Iridacea_sp3	1	Iridacea_sp3	0	1
1__Ischyrolepis_sp2	1	Ischyrolepis_sp2	0	72
1__Leucospermum_conocarpodendron	1	Leucospermum_conocarpodendron	0	14
1__Lobelia_coronopifolia	1	Lobelia_coronopifolia	0	12
1__Metalasia_muricata	1	Metalasia_muricata	0	2
1__Muraltia_thunbergii	1	Muraltia_thunbergii	0	25
1__Passerina_corymbosa	1	Passerina_corymbosa	0	1
1__Pelargonium_cucullatum	1	Pelargonium_cucullatum	0	3
1__Pelargonium_myrrhifolium	1	Pelargonium_myrrhifolium	0	1
1__Pentaschistis_airoides	1	Pentaschistis_airoides	0	1
1__Pentaschistis_sp6	1	Pentaschistis_sp6	0	7
1__Phylica_imberbis	1	Phylica_imberbis	0	4
1__Platycaulos_compressus	1	Platycaulos_compressus	0	5
1__Roella_ciliata	1	Roella_ciliata	0	6
1__Senecio_pubigerus	1	Senecio_pubigerus	0	3
1__Senecio_triqueter	1	Senecio_triqueter	0	1
1__Stoebe_capitata	1	Stoebe_capitata	0	3
1__Stoebe_sp1	1	Stoebe_sp1	0	4
1__Tetraria_compar	1	Tetraria_compar	0	1
1__Tetraria_cuspidata	1	Tetraria_cuspidata	0	1
1__Tetraria_fasciata	1	Tetraria_fasciata	0	1
1__Trachyandra_revoluta	1	Trachyandra_revoluta	0	1
1__Tribolium_uniolae	1	Tribolium_uniolae	0	1
1__Trichocephalus_stipularis	1	Trichocephalus_stipularis	0	2
1__Tritoniopsis_triticea	1	Tritoniopsis_triticea	0	7
1__Vellereophyton_dealbatum	1	Vellereophyton_dealbatum	0	3
1__Wachendorfia_sp1	1	Wachendorfia_sp1	0	1
1__Watsonia_borbonica	1	Watsonia_borbonica	0	1
10__Anthospermum_aethiopicum	10	Anthospermum_aethiopicum	0	1
10__Apiaceae_sp1	10	Apiaceae_sp1	0	31
10__Aspalathus_microphylla	10	Aspalathus_microphylla	0	2
10__Erepsia_bracteata	10	Erepsia_bracteata	0	3
10__Ericoid_sp1	10	Ericoid_sp1	0	5
10__Ficinia_bulbosa	10	Ficinia_bulbosa	0	1
10__Gnidia_oppositifolia	10	Gnidia_oppositifolia	0	4
10__Gnidia_sp2	10	Gnidia_sp2	0	1
10__Hermas_villosa	10	Hermas_villosa	0	1
10__Iridacea_sp2	10	Iridacea_sp2	0	17
10__Leucadendron_xanthoconus	10	Leucadendron_xanthoconus	0	3
10__Lobelia_anceps	10	Lobelia_anceps	0	15
10__Lobostemon_montanus	10	Lobostemon_montanus	0	1
10__Metalasia_cephalotes	10	Metalasia_cephalotes	0	91
10__Microcodon_glomeratum	10	Microcodon_glomeratum	0	4
10__Muraltia_brachypetala	10	Muraltia_brachypetala	0	13
10__Pelargonium_chamaedryfolium	10	Pelargonium_chamaedryfolium	0	1
10__Pelargonium_cucullatum	10	Pelargonium_cucullatum	0	3
10__Phyllobolus_canaliculatus	10	Phyllobolus_canaliculatus	0	1
10__Pseudoselago_serrata	10	Pseudoselago_serrata	0	126
10__Pulicaria_scabra	10	Pulicaria_scabra	0	3
10__Rafnia_angulata	10	Rafnia_angulata	0	2
10__Restio_sp9	10	Restio_sp9	0	6
10__Roella_amplexicaulis	10	Roella_amplexicaulis	0	27
10__Stilbe_vestita	10	Stilbe_vestita	0	11
10__Stoebe_capitata	10	Stoebe_capitata	0	10
10__Thesium_densiflorum	10	Thesium_densiflorum	0	11
10__Tribolium_uniolae	10	Tribolium_uniolae	0	12
10__Tritoniopsis_parviflora	10	Tritoniopsis_parviflora	0	1
10__Wachendorfia_multiflora	10	Wachendorfia_multiflora	0	4
10__Wachendorfia_paniculata	10	Wachendorfia_paniculata	0	1
11__Capeochloa_cincta	11	Capeochloa_cincta	0	12
11__Cliffortia_filifolia	11	Cliffortia_filifolia	0	5
11__Gnidia_sp2	11	Gnidia_sp2	0	4
11__Indigofera_glomerata	11	Indigofera_glomerata	0	3
11__Isolepis_ludwigii	11	Isolepis_ludwigii	0	19
11__Leucadendron_laureolum	11	Leucadendron_laureolum	0	1
11__Limonium_scabrum	11	Limonium_scabrum	0	16
