comb	LocID	variable	PlotPres	SubPlotPres
25__Crassula_fascicularis	25	Crassula_fascicularis	0	1
25__Ehrharta_calycina	25	Ehrharta_calycina	0	3
25__Oxalis_sp21	25	Oxalis_sp21	0	23
25__Oxalis_sp26	25	Oxalis_sp26	0	14
28__Tritoniopsis_triticea	28	Tritoniopsis_triticea	0	1
30__Anthospermum_aethiopicum	30	Anthospermum_aethiopicum	0	2
30__Aspalathus_capensis	30	Aspalathus_capensis	0	1
30__Babiana_ambigua	30	Babiana_ambigua	0	3
30__Corymbium_glabrum	30	Corymbium_glabrum	0	1
30__Cyphia_digitata	30	Cyphia_digitata	0	10
30__Ehrharta_calycina	30	Ehrharta_calycina	0	1
30__Ficinia_sp2	30	Ficinia_sp2	0	6
30__Holothrix_villosa	30	Holothrix_villosa	0	3
30__Montinia_caryophyllacea	30	Montinia_caryophyllacea	0	3
30__Restio_sp1	30	Restio_sp1	0	3
30__Trachyandra_tabularis	30	Trachyandra_tabularis	0	1
30__Tritoniopsis_sp1	30	Tritoniopsis_sp1	0	1
39__Carpobrotus_edulis	39	Carpobrotus_edulis	0	1
39__Cliffortia_atrata	39	Cliffortia_atrata	0	3.1
39__Cliffortia_polygonifolia	39	Cliffortia_polygonifolia	0	1
39__Metalasia_brevifolia	39	Metalasia_brevifolia	0	1
39__Passerina_corymbosa	39	Passerina_corymbosa	0	16
39__Pelargonium_triste	39	Pelargonium_triste	0	2
39__Pentaschistis_airoides	39	Pentaschistis_airoides	0	10
39__Pseudopentameris_macrantha	39	Pseudopentameris_macrantha	0	4
39__Roella_amplexicaulis	39	Roella_amplexicaulis	0	1
39__Roella_ciliata	39	Roella_ciliata	0	2
39__Seriphium_cinereum	39	Seriphium_cinereum	0	16
39__Thesium_strictum	39	Thesium_strictum	0	3
39__Tribolium_uniolae	39	Tribolium_uniolae	0	14
39__Watsonia_borbonica	39	Watsonia_borbonica	0	7
40__Aspalathus_divaricata	40	Aspalathus_divaricata	0	0.1
40__Cannomois_virgata	40	Cannomois_virgata	0	5
40__Crassula_fascicularis	40	Crassula_fascicularis	0	1
40__Cullumia_setosa	40	Cullumia_setosa	0	26.1
40__Ficinia_deusta	40	Ficinia_deusta	0	1
40__Lobelia_setacea	40	Lobelia_setacea	0	14
40__Mesemb_sp2	40	Mesemb_sp2	0	2
40__Mesemb_sp7	40	Mesemb_sp7	0	1
40__Metalasia_muricata	40	Metalasia_muricata	0	4
40__Orchid_sp2	40	Orchid_sp2	0	7
40__Romulea_flava	40	Romulea_flava	0	5
40__Tetraria_sylvatica	40	Tetraria_sylvatica	0	21
40__Thesium_strictum	40	Thesium_strictum	0	1
40__Trachyandra_sp4	40	Trachyandra_sp4	0	1
40__Tribolium_uniolae	40	Tribolium_uniolae	0	1
40__Watsonia_borbonica	40	Watsonia_borbonica	0	1
41__Asparagus_lignosus	41	Asparagus_lignosus	0	0.1
41__Helichrysum_indicum	41	Helichrysum_indicum	0	50
41__Restio_capensis	41	Restio_capensis	0	1.1
41__Thamnochortus_fruticosus	41	Thamnochortus_fruticosus	0	1
48__Aspalathus_divaricata	48	Aspalathus_divaricata	0	0.1
48__Cyphia_digitata	48	Cyphia_digitata	0	4
48__Holothrix_villosa	48	Holothrix_villosa	0	8
48__Lachenalia_sp2	48	Lachenalia_sp2	0	40
48__Tribolium_uniolae	48	Tribolium_uniolae	0	37
48__Wachendorfia_paniculata	48	Wachendorfia_paniculata	0	5
52__Acacia_saligna	52	Acacia_saligna	0	7.1
52__Babiana_ambigua	52	Babiana_ambigua	0	10
52__Cassine_peragua	52	Cassine_peragua	0	1.1
52__Colpoon_compressum	52	Colpoon_compressum	0	0.1
52__Crassula_fascicularis	52	Crassula_fascicularis	0	1
52__Edmondia_sesamoides	52	Edmondia_sesamoides	0	1
52__Ehrharta_calycina	52	Ehrharta_calycina	0	3
52__Ficinia_nigrescens	52	Ficinia_nigrescens	0	1
52__Helichrysum_pandurifolium	52	Helichrysum_pandurifolium	0	2
52__Oxalis_sp13	52	Oxalis_sp13	0	15
52__Pelargonium_triste	52	Pelargonium_triste	0	1
52__Seriphium_cinereum	52	Seriphium_cinereum	0	1
