SpcID	Growth_Form	Life_span_	Dispersal	Seed_size	Regeneration	plant_height	time_to_first_flower	distribution	fire.recruiters	Mycorrhizal_status
Watsonia_tabularis	b	p	w	b	us	s	1	re	NA	NA
Widdringtonia_nodiflora	t	p	p	b	es	b	2	o	NA	ENDO
Willdenowia_incurvata	g	p	m	b	us	s	NA	o	NA	ABS
Willdenowia_sp2	g	p	m	b	us	s	NA	re	NA	NA
Zaluzianskya_capensis	h	a	p	b	s	s	NA	o	NA	NA
Zaluzianskya_divaricata	h	a	p	b	s	s	NA	re	NA	VAM
Zaluzianskya_sp1	h	a	u	u	s	s	NA	o	NA	NA
Zaluzianskya_villosa	h	a	p	s	s	s	NA	re	NA	NA
Zantedeschia_aethiopica	b	p	v	b	us	s	2	o	u	VAM
Zygophyllum_flexuosum	h	p	m	b	s	s	NA	re	NA	ABS
Zygophyllum_sp1	h	p	m	b	s	s	NA	re	NA	NA
Zyrphelis_taxifolia	h	b	w	s	s	s	1	re	NA	NA
