spcID	IUCN
Aspalathus_microphylla	LC
Aspalathus_neglecta	LC
Aspalathus_psoraleoides	EN
Aspalathus_quinquefolia	LC
Aspalathus_radiata	LC
Aspalathus_retroflexa	LC
Aspalathus_salteri	NT
Aspalathus_sericea	LC
Aspalathus_serpens	LC
Aspalathus_spicata	LC
Aspalathus_spinosa	LC
Aspalathus_ternata	VU
Aspalathus_tridentata	Rare
Aspalathus_uniflora	LC
Aspalathus_variegata	EX
Aspalathus_willdenowiana	LC
Asparagus_aethiopicus	LC
Asparagus_africanus	LC
Asparagus_asparagoides	LC
Asparagus_capensis	LC
Asparagus_compactus	NA
Asparagus_declinatum	NA
Asparagus_exuvialis	NA
Asparagus_kraussianum	NA
Asparagus_ovatum	NA
Asparagus_retrofractus	LC
Asparagus_rubicundus	LC
Asparagus_scandens	LC
Asparagus_stipulaceus	NT
Asparagus_undulatum	NA
Aspidoglossum_gracile	LC
Aspidoglossum_heterophyllum	LC
Asplenium_adiantum-nigrum	LC
Asplenium_aethiopicum	LC
Asplenium_erectum	LC
Asplenium_lunulatum	LC
Asplenium_monanthes	LC
Astephanus_triflorus	LC
Aster_subulata	NA
Athanasia_capitata	EN
Athanasia_crithmifolia	LC
Athanasia_dentata	LC
Athanasia_juncea	LC
Athanasia_pinnata	LC
Athanasia_trifurcata	LC
Athrixia_crinita	LC
Atriplex_cinerea	LC
Atriplex_lindleyi	NE
Atriplex_muelleri	NE
Atriplex_nummularia	NE
Atriplex_patula	LC
Atriplex_semibaccata	LC
Audouinia_capitata	Rare
Aulax_cancellata	LC
Avena_barbata	NE
Avena_fatua	NE
Avena_sativa	NE
Avena_sterilis	NE
Azolla_filiculoides	NE
Babiana_ambigua	LC
Babiana_disticha	NT
Babiana_nana	VU
Babiana_ringens	LC
Babiana_stricta	NT
Babiana_tubulosa	VU
Babiana_villosula	EN
Baeometra_uniflora	LC
Ballota_africana	LC
Barbarea_verna	NE
Bartholina_burmanniana	LC
Bartholina_ethelae	NA
Bartsia_trixago	LC
Bergia_glomerata	LC
Berkheya_armata	LC
Berkheya_barbata	LC
Berkheya_pinnatifida	LC
Berkheya_rigida	LC
Berula_erecta	LC
Berzelia_abrotanoides	LC
Berzelia_intermedia	LC
Berzelia_lanuginosa	LC
Beta_vulgaris	NE
Bidens_pilosa	NE
Blechnum_australe	LC
Blechnum_capense	LC
Blechnum_giganteum	LC
Blechnum_punctulatum	LC
Blechnum_tabulare	LC
Bobartia_filiformis	LC
Bobartia_gladiata	LC
Bobartia_indica	LC
Bolboschoenus_maritimus	LC
Bolusafra_bituminosa	LC
Bonatea_speciosa	LC
Brabejum_stellatifolium	LC
Brachycarpaea_juncea	NA
Brachylaena_discolor	LC
Brachylaena_elliptica	LC
Brachylaena_neriifolia	LC
Brachypodium_distachyon	NE
Brachypodium_flexum	LC
Brachysiphon_fucatus	Rare
Brachystelma_occidentale	CR
Brassica_napus	NA
Brassica_nigra	NE
Brassica_oleracea	NA
Brassica_tournefortii	NE
Briza_maxima	NE
Briza_minor	NE
Bromus_catharticus	NE
Bromus_diandrus	NE
Bromus_hordeaceus	NE
Bromus_leptoclados	LC
Bromus_pectinatus	LC
Brunia_nodiflora	LC
Brunsvigia_orientalis	LC
Bryomorphe_lycopodioides	LC
Buchnera_glabrata	LC
Buddleja_madagascariensis	NA
Buglossoides_arvensis	NE
Bulbine_abyssinica	LC
Bulbine_alooides	LC
Bulbine_annua	LC
Bulbine_cepacea	LC
Bulbine_favosa	LC
Bulbine_frutescens	LC
Bulbine_lagopus	LC
Bulbine_praemorsa	LC
Bulbinella_nutans	LC
Bulbinella_triquetra	LC
Bulbostylis_humilis	LC
Bupleurum_mundtii	NA
Bupleurum_rotundifolium	NE
Caesia_contorta	LC
Calopsis_fruiticosa	NA
Calopsis_gracilis	LC
Calopsis_membranacea	LC
Calopsis_paniculata	LC
Calopsis_rigorata	LC
Calopsis_viminea	LC
Calystegia_sepium	NE
Campylostachys_cernua	LC
Canna_indica	NE
Cannabis_sativa	NE
Cannomois_virgata	LC
Canthium_inerme	LC
Canthium_mundtianum	NA
Capnophyllum_africanum	NT
Capsella_bursa-pastoris	NE
Cardamine_africana	LC
Cardamine_hirsuta	NE
Carduus_pycnocephalus	NE
Carex_acutiformis	NE
Carex_aethiopica	LC
Carex_clavata	LC
Carex_cognata	LC
Carex_ecklonii	LC
Carex_glomerabilis	LC
Carpacoce_spermacocea	LC
Carpacoce_vaginellata	LC
Carpanthea_pomeridiana	LC
Carpha_bracteosa	LC
Carpha_capitellata	LC
Carpha_glomerata	LC
Carpobrotus_acinaciformis	LC
Carpobrotus_edulis	LC
Carpobrotus_murii	NA
Carpolyza_spiralis	LC
Carthamus_lanatus	NE
Cassine_barbara	LC
Cassine_maritima	LC
Cassine_peragua	LC
Cassine_reticulatum	NA
Cassytha_ciliolata	LC
Castalis_nudicaulis	LC
Castanea_dentata	NA
Castanea_sativa	NA
Casuarina_cunnighamiana	NA
Casuarina_equisitifolia	NA
Catapodium_rigidum	NE
Cedronella_canariensis	NE
Celtis_africana	LC
Celtis_sinensis	NA
Cenia_turbinata	LC
Centaurea_calcitrapa	NE
Centaurea_melitensis	NE
Centella_affinis	LC
Centella_asiatica	LC
Centella_caespitosa	VU
Centella_capensis	LC
Centella_difformis	LC
Centella_eriantha	LC
Centella_flexuosa	LC
Centella_glabrata	LC
Centella_macrocarpa	LC
Centella_macrodus	LC
Centella_montana	LC
Centella_scabra	LC
Centella_tridentata	EN
Centella_triloba	LC
Centella_villosa	LC
Centella_virgata	LC
Centranthus_ruber	NE
Cephalaria_rigida	LC
Cerastium_capense	LC
Cerastium_glomeratum	LC
Ceratandra_atrata	LC
Ceratandra_bicolor	LC
Ceratandra_globosa	LC
Ceratandra_harveyana	LC
Ceratotheca_triloba	LC
Cereus_jamacaru	NE
Ceropegia_africana	LC
Cestrum_laevigatum	NE
Ceterach_cordatum	LC
Chaetobromus_shraderi	NA
Chamaesyce_inequilatera	NA
Chamaesyce_maculata	NE
Chamaesyse_serpens	NA
Chamarea_capensis	LC
Chamira_circaeoides	LC
Chasmanthe_aethiopica	LC
Chasmanthe_floribunda	LC
Cheilanthes_capensis	LC
Cheilanthes_contracta	LC
Cheilanthes_hastata	LC
Cheilanthes_multifida	LC
Cheilanthes_namaquensis	LC
Cheilanthes_viridis	LC
Chenolea_diffusa	LC
Chenopodium_album	NE
Chenopodium_ambrosioides	NE
Chenopodium_botryodes	NE
Chenopodium_carinatum	NE
Chenopodium_giganteum	NE
Chenopodium_glaucum	NE
Chenopodium_mucronatum	LC
Chenopodium_multifidum	NE
Chenopodium_murale	NE
Chenopodium_phillipsianum	NE
Chenopodium_polyspermum	NE
Chinchonia_pubescens	NA
Chionanthus_foveolata	NA
Chironia_baccifera	LC
Chironia_decumbens	LC
