comb	LocID	variable	PlotPres	SubPlotPres
1__Anthospermum_aethiopicum	1	Anthospermum_aethiopicum	0	1
1__Schizaea_pectinata	1	Schizaea_pectinata	0	1
1__Tetraria_sylvatica	1	Tetraria_sylvatica	0	1
1__Thamnochortus_lucens	1	Thamnochortus_lucens	0	1
10__Disparago_ericoides	10	Disparago_ericoides	0	1.1
10__Metalasia_muricata	10	Metalasia_muricata	0	1
18__Cliffortia_obcordata	18	Cliffortia_obcordata	0	3
18__Crassula_glomerata	18	Crassula_glomerata	0	90
18__Helichrysum_dasyanthum	18	Helichrysum_dasyanthum	0	0.1
18__Helichrysum_patulum	18	Helichrysum_patulum	0	1
18__Searsia_glauca	18	Searsia_glauca	0	0.1
18__Trichogyne_ambigua	18	Trichogyne_ambigua	0	2
2__Tetraria_sylvatica	2	Tetraria_sylvatica	0	1
22__Cymbopogon_marginatus	22	Cymbopogon_marginatus	0	0.1
23__Liparia_parva	23	Liparia_parva	0	1
23__Struthiola_ciliata	23	Struthiola_ciliata	0	3
23__Tetraria_exilis	23	Tetraria_exilis	0	3
23__Willdenowia_glomerata	23	Willdenowia_glomerata	0	0.1
24__Acacia_cyclops	24	Acacia_cyclops	0	0.1
24__Briza_maxima	24	Briza_maxima	0	2
24__Cineraria_geifolia	24	Cineraria_geifolia	0	2
24__Elytropappus_scaber	24	Elytropappus_scaber	0	0.1
24__Ficinia_nigrescens	24	Ficinia_nigrescens	0	1
24__Ficinia_oligantha	24	Ficinia_oligantha	0	1
24__Leucospermum_conocarpodendron	24	Leucospermum_conocarpodendron	0	1.1
24__Roella_ciliata	24	Roella_ciliata	0	0.1
25__Aspalathus_chenopoda	25	Aspalathus_chenopoda	0	1.1
25__Cassytha_ciliolata	25	Cassytha_ciliolata	0	1.1
25__Metalasia_densa	25	Metalasia_densa	0	0.1
25__Pentaschistis_barbata	25	Pentaschistis_barbata	0	3
25__Senecio_elegans	25	Senecio_elegans	0	3
28__Caesia_contorta	28	Caesia_contorta	0	1
28__Pelargonium_cucullatum	28	Pelargonium_cucullatum	0	2
29__Cineraria_geifolia	29	Cineraria_geifolia	0	20
29__Cullumia_squarrosa	29	Cullumia_squarrosa	0	0.1
29__Cynanchum_obtusifolium	29	Cynanchum_obtusifolium	0	0.1
29__Searsia_lucida	29	Searsia_lucida	0	0.1
3__Willdenowia_teres	3	Willdenowia_teres	0	10
30__Ficinia_gracilis	30	Ficinia_gracilis	0	3
30__Ficinia_oligantha	30	Ficinia_oligantha	0	5
30__Helichrysum_indicum	30	Helichrysum_indicum	0	1
30__Restio_curviramis	30	Restio_curviramis	0	5
30__Senecio_arenarius	30	Senecio_arenarius	0	1
35__Cassytha_ciliolata	35	Cassytha_ciliolata	0	1
35__Cliffortia_atrata	35	Cliffortia_atrata	0	4
35__Corymbium_africanum	35	Corymbium_africanum	0	1
35__Hypodiscus_aristatus	35	Hypodiscus_aristatus	0	1
35__Morella_humilis	35	Morella_humilis	0	3
35__Restio_sp1	35	Restio_sp1	0	3
35__Tetraria_eximia	35	Tetraria_eximia	0	1
35__Tritoniopsis_unguicularis	35	Tritoniopsis_unguicularis	0	1
35__Watsonia_tabularis	35	Watsonia_tabularis	0	1
38__Bobartia_gladiata	38	Bobartia_gladiata	0	3
38__Cliffortia_atrata	38	Cliffortia_atrata	0	1
38__Corymbium_africanum	38	Corymbium_africanum	0	3
38__Euryops_abrotanifolius	38	Euryops_abrotanifolius	0	1
38__Tetraria_cuspidata	38	Tetraria_cuspidata	0	0.1
39__Metalasia_muricata	39	Metalasia_muricata	0	1
39__Passerina_paleacea	39	Passerina_paleacea	0	7
39__Pelargonium_cucullatum	39	Pelargonium_cucullatum	0	1
39__Thamnochortus_lucens	39	Thamnochortus_lucens	0	4
40__Ficinia_oligantha	40	Ficinia_oligantha	0	2
41__Briza_maxima	41	Briza_maxima	0	10
41__Erica_subcapitata	41	Erica_subcapitata	0	0.1
41__Passerina_paleacea	41	Passerina_paleacea	0	2
43__Stipagrostis_zeyheri	43	Stipagrostis_zeyheri	0	1
47__Ehrharta_calycina	47	Ehrharta_calycina	0	2
47__Erica_baccans	47	Erica_baccans	0	1.1
47__Pelargonium_sp1	47	Pelargonium_sp1	0	1
48__Aristea_capitata	48	Aristea_capitata	0	1
48__Ficinia_deusta	48	Ficinia_deusta	0	1
48__Ficinia_nigrescens	48	Ficinia_nigrescens	0	1
48__Pentaschistis_airoides	48	Pentaschistis_airoides	0	5
48__Protea_nitida	48	Protea_nitida	0	0.1
48__Tribolium_uniolae	48	Tribolium_uniolae	0	3
48__Tritoniopsis_triticea	48	Tritoniopsis_triticea	0	1
49__Anthospermum_aethiopicum	49	Anthospermum_aethiopicum	0	3
49__Cassine_maritima	49	Cassine_maritima	0	0.1
49__Cassine_peragua	49	Cassine_peragua	0	1.1
49__Chrysanthemoides_monilifera	49	Chrysanthemoides_monilifera	0	1
49__Chrysocoma_coma.aurea	49	Chrysocoma_coma.aurea	0	1
49__Cliffortia_obcordata	49	Cliffortia_obcordata	0	3.1
49__Dipogon_lignosus	49	Dipogon_lignosus	0	0.1
49__Erica_coccinea	49	Erica_coccinea	0	1
49__Euclea_racemosa	49	Euclea_racemosa	0	1
49__Ficinia_ramosissima	49	Ficinia_ramosissima	0	17
49__Helichrysum_patulum	49	Helichrysum_patulum	0	5.1
49__Leucadendron_coniferum	49	Leucadendron_coniferum	0	1
49__Metalasia_densa	49	Metalasia_densa	0	1
49__Metalasia_muricata	49	Metalasia_muricata	0	0.1
49__Myrsine_africana	49	Myrsine_africana	0	3
49__Olea_exasperata	49	Olea_exasperata	0	5
49__Otholobium_fruticans	49	Otholobium_fruticans	0	0.1
49__Passerina_paleacea	49	Passerina_paleacea	0	0.1
49__Pentaschistis_calcicola	49	Pentaschistis_calcicola	0	35
49__Polygala_myrtifolia	49	Polygala_myrtifolia	0	0.1
49__Restio_eleocharis	49	Restio_eleocharis	0	21
49__Restio_vimineus	49	Restio_vimineus	0	7.1
49__Satyrium_carneum	49	Satyrium_carneum	0	4
49__Scabiosa_columbaria	49	Scabiosa_columbaria	0	1
49__Searsia_glauca	49	Searsia_glauca	0	1.1
49__Searsia_laevigata	49	Searsia_laevigata	0	1
49__Tribolium_hispidum	49	Tribolium_hispidum	0	1
49__Wachendorfia_paniculata	49	Wachendorfia_paniculata	0	3
49__Willdenowia_teres	49	Willdenowia_teres	0	2.1
52__Acacia_saligna	52	Acacia_saligna	0	0.1
52__Briza_maxima	52	Briza_maxima	0	20
6__Ficinia_filiformis	6	Ficinia_filiformis	0	3
6__Seriphium_plumosum	6	Seriphium_plumosum	0	0.1
7__Asparagus_lignosus	7	Asparagus_lignosus	0	1
7__Bobartia_gladiata	7	Bobartia_gladiata	0	1
7__Disa_bracteata	7	Disa_bracteata	0	3
